observation_date,FEDFUNDS,CORESTICKM159SFRBATL,INDPRO,LAYOFFS,UNCERTAINTY
8/1/2016,0.4,2.7228064,98.7554,25.60031603,78.2488523
9/1/2016,0.4,2.6321032,98.6596,15.31924925,52.04694855
10/1/2016,0.4,2.5095184,98.7322,20.95844998,76.00582804
11/1/2016,0.41,2.5258013,98.3452,27.25142112,140.792697
12/1/2016,0.54,2.594944,99.0314,20.1065492,114.73008
1/1/2017,0.65,2.661562,98.7987,27.43951105,115.5592211
2/1/2017,0.66,2.67446,98.4322,22.4689838,117.9433489
3/1/2017,0.79,2.453344,99.0663,28.86018283,116.3647266
4/1/2017,0.9,2.25217,100.0082,26.31989025,107.5031249
5/1/2017,0.91,2.155911,100.1286,38.7267422,95.77261569
6/1/2017,1.04,2.13853,100.3233,38.24597343,87.60927715
7/1/2017,1.15,2.146769,100.0947,29.99463599,92.23497356
8/1/2017,1.16,2.089832,99.6642,33.63509345,80.98811598
9/1/2017,1.15,2.106697,99.7686,43.87232117,91.31214516
10/1/2017,1.15,2.192819,100.9981,43.722792,79.48531209
11/1/2017,1.16,2.115031,101.2597,25.87112692,103.63371
12/1/2017,1.3,2.125472,101.4573,42.54930176,84.57046628
1/1/2018,1.41,2.166305,101.3939,38.80306621,92.98090661
2/1/2018,1.42,2.131896,101.7656,34.12071876,86.04448172
3/1/2018,1.51,2.369197,102.2441,33.32495459,75.06403909
4/1/2018,1.69,2.493423,103.3468,32.15390421,93.1702869
5/1/2018,1.7,2.544991,102.3911,30.68901591,87.69947296
6/1/2018,1.82,2.553219,103.1924,38.82215855,93.4766932
7/1/2018,1.91,2.519634,103.3334,34.92542177,92.15997169
8/1/2018,1.91,2.432878,104.0807,38.0135784,93.7415079
9/1/2018,1.95,2.461933,104.1181,38.13849504,73.97708838
10/1/2018,2.19,2.414988,103.9397,24.51301242,104.6231917
11/1/2018,2.2,2.476794,104.0007,27.76464491,89.67539426
12/1/2018,2.27,2.46437,103.9946,36.25073294,122.6540998
1/1/2019,2.4,2.385533,103.373,33.6835407,122.3223026
2/1/2019,2.4,2.376648,102.8292,34.38162977,87.68317957
3/1/2019,2.41,2.399684,102.8286,34.18462411,87.55346803
4/1/2019,2.42,2.407927,102.2481,33.7055055,81.96822273
5/1/2019,2.39,2.39723,102.4192,37.39536466,90.7337978
6/1/2019,2.38,2.421751,102.4893,30.04104371,123.8519748
7/1/2019,2.4,2.460848,102.0236,76.37979446,88.43216606
8/1/2019,2.13,2.629246,102.7754,38.77386765,169.3651583
9/1/2019,2.04,2.606767,102.5315,37.08485341,134.0531132
10/1/2019,1.83,2.733341,101.6022,38.82522671,112.2317464
11/1/2019,1.55,2.768217,102.148,33.48908266,89.3900822
12/1/2019,1.55,2.746361,101.884,45.85318887,118.8796031
1/1/2020,1.55,2.797067,101.3768,25.78046682,93.8865563
2/1/2020,1.58,2.812936,101.633,29.54541606,124.1370312
3/1/2020,0.65,2.647379,97.6672,196.922154,336.1514405
4/1/2020,0.05,2.226352,84.5979,147.6259089,574.4506893
5/1/2020,0.05,2.084208,85.9732,36.0146246,455.5801638
6/1/2020,0.08,2.058146,91.5625,40.03765519,287.825122
7/1/2020,0.09,2.348857,95.0144,28.11456889,342.2780791
8/1/2020,0.1,2.288978,95.8881,28.68505445,322.4153097
9/1/2020,0.09,2.077391,95.8444,21.1432905,284.0700832
10/1/2020,0.09,1.842159,96.4292,34.67821647,302.4743219
11/1/2020,-0.23,1.798587,96.8564,31.86069388,284.9799736
12/1/2020,-0.29,1.716599,97.9754,28.40416109,240.420319
1/1/2021,-0.42,1.517012,98.7836,21.67242433,188.535871
2/1/2021,-0.48,1.527009,95.3744,23.72598027,171.8386104
3/1/2021,-1.56,1.706984,98.1351,24.85653259,150.3376419
4/1/2021,-1.80,2.262331,98.2886,23.46647085,124.9378076
5/1/2021,-2.00,2.623164,99.1508,27.10839264,119.6994178
6/1/2021,-1.83,2.588579,99.5096,36.47878054,107.2831252
7/1/2021,-1.89,2.315464,100.1231,33.24141377,126.0181601
8/1/2021,-1.80,2.343064,100.1255,28.34471049,135.052398
9/1/2021,-1.81,2.638383,99.0614,46.22654066,141.5029985
10/1/2021,-1.70,3.035619,100.3045,32.8423416,117.7854494
11/1/2021,-1.85,3.21432,101.1971,31.09891406,140.9140487
12/1/2021,-1.15,3.484143,100.886,32.82704439,138.7444864
1/1/2022,-0.20,3.988659,101.0227,55.55382281,128.0769496
